Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
104.0,2000.0,3.0,1.0,3.0,2.0
1760.0,6146.0,240.0,4.0,3.0,10.0
135.0,4386.0,15.0,1.0,2.0,2.0
1698.0,4251.0,120.0,1.0,3.0,2.0
15.0,2553.0,5.0,1.0,1.0,1.0
364.0,2538.0,30.0,1.0,2.0,2.0
50.0,2174.0,10.0,1.0,1.0,1.0
346.0,2124.0,15.0,1.0,3.0,2.0
445.0,1778.0,5.0,1.0,1.0,2.0
50.0,1333.0,2.0,4.0,3.0,2.0
104.0,1283.0,3.0,1.0,3.0,2.0
23.0,1179.0,15.0,5.0,3.0,1.0
126.0,1156.0,30.0,1.0,3.0,2.0
200.0,1030.0,5.0,1.0,3.0,4.0
300.0,5080.0,30.0,1.0,3.0,1.0
230.0,4780.0,120.0,1.0,2.0,3.0
200.0,4550.0,2.0,3.0,3.0,2.0
300.0,4350.0,180.0,4.0,3.0,3.0
302.0,4050.0,30.0,1.0,3.0,2.0
1217.0,3748.0,1.0,4.0,3.0,1.0
48.0,2531.0,4.0,1.0,3.0,2.0
38.0,2483.0,5.0,1.0,1.0,1.0
100.0,2445.0,1.0,1.0,1.0,2.0
210.0,2345.0,15.0,1.0,3.0,2.0
120.0,2135.0,5.0,1.0,3.0,2.0
56.0,2015.0,10.0,1.0,2.0,2.0
1470.0,1959.0,15.0,3.0,2.0,1.0
52.0,8489.0,5.0,1.0,3.0,1.0
850.0,8437.0,10.0,1.0,3.0,2.0
160.0,7587.0,15.0,1.0,3.0,2.0
3000.0,7427.0,600.0,4.0,3.0,10.0
3000.0,4427.0,600.0,4.0,3.0,10.0
410.0,1427.0,10.0,1.0,2.0,2.0
70.0,1017.0,5.0,1.0,2.0,1.0
85.0,947.0,5.0,1.0,3.0,2.0
36.0,862.0,5.0,1.0,2.0,1.0
1217.0,5076.0,1.0,4.0,1.0,1.0
300.0,3859.0,10.0,1.0,2.0,2.0
123.0,3559.0,5.0,1.0,3.0,2.0
194.0,3436.0,10.0,1.0,3.0,2.0
75.0,7492.0,10.0,1.0,1.0,1.0
48.0,7417.0,5.0,1.0,1.0,1.0
300.0,7369.0,10.0,1.0,3.0,2.0
300.0,7069.0,2.0,1.0,2.0,1.0
170.0,6769.0,15.0,1.0,3.0,2.0
77.0,6599.0,5.0,1.0,1.0,2.0
500.0,6522.0,1.0,4.0,2.0,1.0
2460.0,6022.0,10.0,4.0,2.0,2.0
430.0,3562.0,120.0,4.0,3.0,2.0
3200.0,7382.0,10.0,3.0,2.0,1.0
320.0,4182.0,30.0,1.0,3.0,2.0
900.0,3862.0,45.0,3.0,1.0,1.0
1500.0,2962.0,1.0,4.0,2.0,2.0
1300.0,1462.0,120.0,1.0,3.0,2.0
150.0,162.0,5.0,1.0,3.0,2.0
500.0,4262.0,10.0,1.0,3.0,2.0
230.0,3762.0,5.0,1.0,2.0,4.0
520.0,3532.0,120.0,4.0,3.0,2.0
1000.0,3012.0,1.0,4.0,1.0,1.0
600.0,2012.0,5.0,4.0,2.0,2.0
1200.0,1412.0,10.0,3.0,2.0,1.0
160.0,212.0,5.0,1.0,3.0,1.0
2300.0,4302.0,15.0,3.0,2.0,1.0
1217.0,2002.0,1.0,4.0,2.0,1.0
